EventTitle,URL
Lewis vs Oleinik,https://www.ufc.com/event/ufc-fight-night-august-08-2020
Brunson vs Shahbazyan,https://www.ufc.com/event/ufc-fight-night-august-01-2020
Whittaker vs Till,https://www.ufc.com/event/ufc-fight-night-july-25-2020
Figueiredo vs Benavidez,https://www.ufc.com/event/ufc-fight-night-july-18-2020
Kattar vs Ige,https://www.ufc.com/event/ufc-fight-night-july-15-2020
Usman vs Masvidal,https://www.ufc.com/event/ufc-251
Poirier vs Hooker,https://www.ufc.com/event/ufc-fight-night-june-27-2020
Blaydes vs Volkov,https://www.ufc.com/event/ufc-fight-night-2020
Eye vs Calvillo,https://www.ufc.com/event/ufc-fight-night-june-13-2020
Nunes vs Spencer,https://www.ufc.com/event/ufc-250
Woodley vs Burns,https://www.ufc.com/event/ufc-fight-night-may-30-2020
Overeem vs Harris,https://www.ufc.com/event/ufc-fight-night-may-16-2020
Smith vs Teixeira,https://www.ufc.com/event/ufc-fight-night-may-13-2020
Ferguson vs Gaethje,https://www.ufc.com/event/ufc-249
Lee vs Oliveira,https://www.ufc.com/event/ufc-fight-night-march-14-2020
Adesanya vs Romero,https://www.ufc.com/event/ufc-248
Benavidez vs Figueiredo,https://www.ufc.com/event/ufc-fight-night-norfolk-february-29-2020
Felder vs Hooker,https://www.ufc.com/event/ufc-fight-night-february-23-2020
Anderson vs Blachowicz,https://www.ufc.com/event/ufc-fight-night-february-15-2020
Jones vs Reyes,https://www.ufc.com/event/ufc-247
Blaydes vs Dos Santos,https://www.ufc.com/event/ufc-fight-night-raleigh-january-25-blaydes-jds
McGregor vs Cowboy,https://www.ufc.com/event/ufc-246
Edgar vs Jung,https://www.ufc.com/event/ufc-fight-night-december-21-2019
Usman vs Covington,https://www.ufc.com/event/ufc-245
Overeem vs Rozenstruik,https://www.ufc.com/event/ufc-fight-night-december-7-2019
Blachowicz vs Souza,https://www.ufc.com/event/ufc-fight-night-november-16-2019
Magomedsharipov vs Kattar,https://www.ufc.com/event/ufc-fight-night-november-9-2019
Masvidal vs Diaz,https://www.ufc.com/event/ufc-244
Maia vs Askren,https://www.ufc.com/event/ufc-fight-night-october-26-2019
Reyes vs Weidman,https://www.ufc.com/event/ufc-fight-night-october-18-2019
Joanna vs Waterson,https://www.ufc.com/event/ufc-fight-night-october-12-2019
Whittaker vs Adesanya,https://www.ufc.com/event/ufc-243
Hermansson vs Cannonier,https://www.ufc.com/event/ufc-fight-night-september-28-2019
Rodriguez vs Stephens,https://www.ufc.com/event/ufc-fight-night-septemer-21-2019
Cowboy vs Gaethje,https://www.ufc.com/event/ufc-fight-night-september-14-2019
Khabib vs Poirier,https://www.ufc.com/event/ufc-242
Andrade vs Zhang,https://www.ufc.com/event/ufc-fight-night-august-31-2019
Cormier vs Miocic,https://www.ufc.com/event/ufc-241
Shevchenko vs Carmouche,https://www.ufc.com/event/ufc-fight-night-august-10-2019
Covington vs Lawler,https://www.ufc.com/event/ufc-fight-night-august-03-2019
Holloway vs Edgar,https://www.ufc.com/event/ufc-240
Dos Anjos vs Edwards,https://www.ufc.com/event/ufc-fight-night-july-20-2019
de Randamie vs Ladd,https://www.ufc.com/event/ufc-fight-night-july-13-2019
Jones vs Santos,https://www.ufc.com/event/ufc-239
Ngannou vs Dos Santos,https://www.ufc.com/event/ufc-fight-night-june-29-2019-minneapolis
